X,Y,OBJECTID,Objecttype,Type_velo,Ligging,Straatnaam,Huisnummer,Aanvulling,District,Postcode,Objectcode,Gebruik,Aantal_plaatsen
490805.435435433,6661741.33067299,225270,VELOSTATION,ENKELZIJDIG,VOETPAD,GODEFRIDUSKAAI,,thv Q-park,ANTWERPEN,2000,VE_0000129,IN_GEBRUIK,36
492111.727847502,6659889.1075359,225271,VELOSTATION,ENKELZIJDIG,PLEIN,Koningin Astridplein (2018),,to station 1,ANTWERPEN,2018,VE_0000002,IN_GEBRUIK,36
491186.935170642,6659990.42714611,225272,VELOSTATION,DUBBELZIJDIG,VOETPAD,Meir (2000),84,,ANTWERPEN,2000,VE_0000026,IN_GEBRUIK,21
490256.233411669,6660129.95496928,225273,VELOSTATION,ENKELZIJDIG,VOETPAD,Eiermarkt (2000),12,,ANTWERPEN,2000,VE_0000019,BUITEN_GEBRUIK,24
489878.99981999,6660068.07436155,225274,VELOSTATION,ENKELZIJDIG,PARKEERZONE,Groenkerkhofstraat (2000),2,thv Nationalestraat,ANTWERPEN,2000,VE_0000020,IN_GEBRUIK,27
488424.478613629,6658573.20164857,225275,VELOSTATION,ENKELZIJDIG,VOETGANGERSZONE,Cockerillkaai (2000),,,ANTWERPEN,2000,VE_0000035,IN_GEBRUIK,36
489387.629606106,6657587.47580403,225276,VELOSTATION,ENKELZIJDIG,VOETPAD,PALEISSTRAAT,147,,ANTWERPEN,2018,VE_0000094,IN_GEBRUIK,18
488707.473513431,6656639.99873835,225277,VELOSTATION,DUBBELZIJDIG,GROENZONE,Singel (2018),,tssn Singel/Brederodestraat,ANTWERPEN,2018,VE_0000012,IN_GEBRUIK,36
491101.594112087,6660217.92779491,225278,VELOSTATION,ENKELZIJDIG,VOETPAD,Lange Nieuwstraat (2000),105,,ANTWERPEN,2000,VE_0000027,IN_GEBRUIK,36
491849.272558918,6657783.7057887,225279,VELOSTATION,ENKELZIJDIG,VOETPAD,Belgiëlei (2018),99,,ANTWERPEN,2018,VE_0000044,IN_GEBRUIK,36
492308.146921382,6658513.04691694,225280,VELOSTATION,ENKELZIJDIG,VOETPAD,Mercatorstraat (2018),18,to 18,ANTWERPEN,2018,VE_0000006,IN_GEBRUIK,24
492896.522494308,6658558.20595364,225281,VELOSTATION,DUBBELZIJDIG,VOETGANGERSZONE,Van der Meydenstraat (2140),123,,BORGERHOUT,2140,VE_0000111,IN_GEBRUIK,30
493385.5200668,6661025.77840494,225282,VELOSTATION,ENKELZIJDIG,VOETPAD,Lange Stuivenbergstraat (2060),86-88,to 86-88,ANTWERPEN,2060,VE_0000101,IN_GEBRUIK,36
494172.324786688,6661653.47372436,225283,VELOSTATION,ENKELZIJDIG,PARKEERZONE,Schijnpoortweg (2060),27-29,,ANTWERPEN,2060,VE_0000120,IN_GEBRUIK,24
487434.510201941,6662329.69712844,225284,VELOSTATION,ENKELZIJDIG,VOETPAD,August Vermeylenlaan (2050),7,to 7,ANTWERPEN,2050,VE_0000144,IN_GEBRUIK,36
487419.28517315,6661717.2366441,225285,VELOSTATION,ENKELZIJDIG,VOETPAD,August Vermeylenlaan (2050),,charles de costerlaan,ANTWERPEN,2050,VE_0000145,IN_GEBRUIK,24
488200.918008866,6660015.59989291,225286,VELOSTATION,ENKELZIJDIG,GROENZONE,Beatrijslaan (2050),42,,ANTWERPEN,2050,VE_0000153,IN_GEBRUIK,36
487089.782181539,6660309.17143789,225287,VELOSTATION,DUBBELZIJDIG,VOETPAD,Blancefloerlaan (2050),163-165,,ANTWERPEN,2050,VE_0000152,IN_GEBRUIK,36
488295.905894173,6660407.52390628,225288,VELOSTATION,ENKELZIJDIG,VOETPAD,Blancefloerlaan (2050),,to frederick van eedenplein,ANTWERPEN,2050,VE_0000149,IN_GEBRUIK,36
487861.750194778,6662680.60571419,225289,VELOSTATION,ENKELZIJDIG,VOETPAD,Esmoreitlaan (2050),13,thv lodewijk van veltheimlaan,ANTWERPEN,2050,VE_0000142,IN_GEBRUIK,36
488272.632175083,6660848.82846992,225290,VELOSTATION,ENKELZIJDIG,VOETPAD,Frederik van Eedenplein (2050),4,to 4,ANTWERPEN,2050,VE_0000148,IN_GEBRUIK,36
488231.893039852,6662265.66524849,225291,VELOSTATION,ENKELZIJDIG,VOETPAD,Gloriantlaan (2050),31,,ANTWERPEN,2050,VE_0000143,IN_GEBRUIK,24
488346.301704234,6663000.68857156,225292,VELOSTATION,ENKELZIJDIG,VOETPAD,Gloriantlaan (2050),,thv kastanjedreef,ANTWERPEN,2050,VE_0000141,IN_GEBRUIK,36
488873.154716521,6662312.11539026,225293,VELOSTATION,ENKELZIJDIG,VOETPAD,Thonetlaan (2050),,to jachthaven,ANTWERPEN,2050,VE_0000140,IN_GEBRUIK,36
487343.509317809,6661014.87332252,225294,VELOSTATION,ENKELZIJDIG,VOETPAD,Halewijnlaan (2050),88,,ANTWERPEN,2050,VE_0000147,IN_GEBRUIK,24
488233.35085415,6661666.60359916,225295,VELOSTATION,ENKELZIJDIG,VOETPAD,Reinaartlaan (2050),,thv gloriantlaan,ANTWERPEN,2050,VE_0000146,IN_GEBRUIK,33
487770.419407984,6660303.69991877,225296,VELOSTATION,ENKELZIJDIG,VOETPAD,Waterhoenlaan (2050),12,,ANTWERPEN,2050,VE_0000150,IN_GEBRUIK,24
490203.958603953,6662318.36527544,225297,VELOSTATION,DUBBELZIJDIG,VOETPAD,Amsterdamstraat (2000),,thv rijnkaai,ANTWERPEN,2000,VE_0000138,IN_GEBRUIK,24
491181.227822763,6662269.99893326,225298,VELOSTATION,ENKELZIJDIG,VOETPAD,Londenstraat (2000),53,,ANTWERPEN,2000,VE_0000139,IN_GEBRUIK,21
490438.008338939,6662032.19128686,225299,VELOSTATION,DUBBELZIJDIG,VOETPAD,Sint-Laureiskaai (2000),,,ANTWERPEN,2000,VE_0000137,IN_GEBRUIK,36
489858.377067548,6660581.67279194,225300,VELOSTATION,ENKELZIJDIG,VOETPAD,Wisselstraat (2000),12,to 12,ANTWERPEN,2000,VE_0000060,IN_GEBRUIK,36
